Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_Gls,Performance_Ast,Performance_G_and_A,Performance_G_nonPK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_G_and_A,Per_90_Minutes_G_nonPK,Per_90_Minutes_G_and_A_nonPK
438,Max Lowe,eng ENG,DF,Sheffield Weds,28,1997,28,27,2399,26.7,0,1,1,0,0,0,4,0,0.0,0.04,0.04,0.0,0.04
439,Milos Lukovic,rs SRB,FW,Preston,19,2005,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
440,Joe Lumley,eng ENG,GK,Sheffield Weds,30,1995,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
441,John Lundstram,eng ENG,MF,Hull City,31,1994,29,16,1541,17.1,1,0,1,1,0,0,11,1,0.06,0.0,0.06,0.06,0.06
442,Massimo Luongo,au AUS,MF,Millwall,32,1992,9,7,567,6.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
443,Othmane Maamma,ma MAR,MF,Watford,19,2005,25,21,1625,18.1,4,1,5,4,0,0,1,0,0.22,0.06,0.28,0.22,0.28
444,Nicolas Madsen,dk DEN,MF,QPR,25,2000,38,33,2938,32.6,3,6,9,1,2,2,1,0,0.09,0.18,0.28,0.03,0.21
445,Edmond-Paris Maghoma,eng ENG,MF,Norwich City,24,2001,14,8,828,9.2,1,3,4,1,0,0,1,0,0.11,0.33,0.43,0.11,0.43
446,Lucien Mahovo,eng ENG,DF,Norwich City,20,2005,6,2,203,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
447,Josh Maja,ng NGA,FW,West Brom,26,1998,40,15,1543,17.1,4,1,5,3,1,1,1,0,0.23,0.06,0.29,0.17,0.23
448,Jovon Makama,eng ENG,"MF,FW",Norwich City,21,2004,28,18,1607,17.9,10,0,10,10,0,0,3,0,0.56,0.0,0.56,0.56,0.56
449,Christ Makosso,cg CGO,DF,Oxford United,21,2004,6,5,461,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
450,Adilson Malanda,fr FRA,DF,Middlesbrough,23,2001,21,20,1826,20.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
451,Mackenzie Maltby,eng ENG,DF,Sheffield Weds,20,2004,2,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
452,Souleyman Mandey,at AUT,MF,West Brom,19,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
453,Million Manhoef,nl NED,MF,Stoke City,23,2002,45,33,2905,32.3,7,4,11,7,0,0,4,0,0.22,0.12,0.34,0.22,0.34
454,Ryan Manning,ie IRL,"DF,MF",Southampton,29,1996,43,35,3217,35.7,8,6,14,8,0,0,4,0,0.22,0.17,0.39,0.22,0.39
455,William Mannion,eng ENG,GK,Charlton Athletic,27,1998,9,9,810,9.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
456,Benson Manuel,ao ANG,FW,Swansea City,28,1997,6,1,142,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
457,Emiliano Marcondes,dk DEN,MF,Norwich City,30,1995,16,7,651,7.2,1,2,3,1,0,0,0,0,0.14,0.28,0.41,0.14,0.41
458,Jahnoah Markelo,sr SUR,FW,Coventry City,22,2003,5,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
459,Ephron Mason-Clark,jm JAM,MF,Coventry City,25,1999,42,36,2976,33.1,10,6,16,10,0,0,3,0,0.3,0.18,0.48,0.3,0.48
460,Eliot Matazo,be BEL,MF,Hull City,23,2002,1,1,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
461,Alex Matos,eng ENG,MF,Sheffield United,20,2004,8,3,321,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
462,Kuryū Matsuki,jp JPN,MF,Southampton,22,2003,20,11,1025,11.4,4,1,5,4,0,0,1,0,0.35,0.09,0.44,0.35,0.44
463,Hayden Matthews,au AUS,DF,Portsmouth,21,2004,13,9,779,8.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
464,Pelle Mattsson,dk DEN,MF,Norwich City,23,2001,33,30,2720,30.2,3,0,3,3,0,0,10,0,0.1,0.0,0.1,0.1,0.1
465,Azor Matusiwa,nl NED,MF,Ipswich Town,27,1998,45,45,3847,42.7,1,3,4,1,0,0,9,0,0.02,0.07,0.09,0.02,0.09
466,Stephy Mavididi,eng ENG,MF,Leicester City,27,1998,42,34,2662,29.6,3,1,4,3,0,0,4,0,0.1,0.03,0.14,0.1,0.14
467,Noah Mawene,eng ENG,MF,Preston,20,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
468,Fally Mayulu,fr FRA,FW,Bristol City,23,2002,10,1,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
469,Derek Mazou-Sacko,fr FRA,MF,Millwall,20,2004,21,11,994,11.0,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18
470,Amadou Mbengue,sn SEN,DF,QPR,23,2002,41,36,3124,34.7,2,0,2,2,0,0,14,1,0.06,0.0,0.06,0.06,0.06
471,Kasey McAteer,ie IRL,MF,Leicester City,23,2001,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
472,Kasey McAteer,ie IRL,MF,Ipswich Town,23,2001,28,14,1257,14.0,3,1,4,3,0,0,3,0,0.21,0.07,0.29,0.21,0.29
473,Oliver McBurnie,sct SCO,FW,Hull City,29,1996,37,32,2907,32.3,17,7,24,14,3,3,8,0,0.53,0.22,0.74,0.43,0.65
474,Sam McCallum,eng ENG,"DF,MF",Sheffield United,24,2000,20,15,1201,13.3,1,1,2,1,0,0,2,0,0.07,0.07,0.15,0.07,0.15
475,Alistair McCann,nir NIR,MF,Preston,25,1999,26,20,1742,19.4,1,1,2,1,0,0,5,0,0.05,0.05,0.1,0.05,0.1
476,Alex McCarthy,eng ENG,GK,Southampton,35,1989,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
477,Cathal McCarthy,ie IRL,DF,Hull City,18,2006,6,1,232,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
478,James McClean,ie IRL,MF,Wrexham,36,1989,16,10,913,10.1,0,2,2,0,0,0,2,0,0.0,0.2,0.2,0.0,0.2
479,Ruairi Mcconville,nir NIR,DF,Norwich City,20,2005,25,24,2170,24.1,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04
