,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Championship,2425,Sheffield United,Alfie Gilchrist,ENG,DF,20,2003,30,27,2103,23.4,0,2,2,0,0,0,5,0,0.0,0.09,0.09,0.0,0.09
ENG-Championship,2425,Sheffield United,Andre Brooks,JAM,MF,20,2003,22,10,951,10.6,3,2,5,3,0,0,3,0,0.28,0.19,0.47,0.28,0.47
ENG-Championship,2425,Sheffield United,Anel Ahmedhodžić,BIH,DF,25,1999,38,35,3136,34.8,3,1,4,3,0,0,11,1,0.09,0.03,0.11,0.09,0.11
ENG-Championship,2425,Sheffield United,Anis Ben Slimane,TUN,MF,23,2001,3,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Auston Trusty,USA,DF,25,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Ben Brereton,CHI,MF,25,1999,17,13,984,10.9,4,3,7,4,0,0,4,0,0.37,0.27,0.64,0.37,0.64
ENG-Championship,2425,Sheffield United,Billy Blacker,ENG,FW,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Callum O'Hare,ENG,MF,26,1998,44,38,3139,34.9,2,6,8,2,0,0,2,0,0.06,0.17,0.23,0.06,0.23
ENG-Championship,2425,Sheffield United,Femi Seriki,ENG,DF,22,2002,25,8,1091,12.1,0,1,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08
ENG-Championship,2425,Sheffield United,Gustavo Hamer,NED,MF,27,1997,41,36,3124,34.7,9,7,16,9,0,0,13,0,0.26,0.2,0.46,0.26,0.46
ENG-Championship,2425,Sheffield United,Hamza Choudhury,BAN,"MF,DF",26,1997,16,13,1105,12.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Harrison Burrows,ENG,DF,22,2002,43,39,3460,38.4,5,3,8,3,2,2,2,0,0.13,0.08,0.21,0.08,0.16
ENG-Championship,2425,Sheffield United,Harry Clarke,ENG,DF,23,2001,6,6,472,5.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Harry Souttar,AUS,DF,25,1998,21,20,1768,19.6,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Jack Robinson,ENG,DF,30,1993,34,31,2841,31.6,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Jamal Baptiste,ENG,DF,20,2003,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Jamie Shackleton,ENG,"MF,DF",24,1999,12,2,291,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Jesurun Rak Sakyi,GHA,MF,21,2002,34,22,1725,19.2,7,2,9,7,0,0,1,0,0.37,0.1,0.47,0.37,0.47
ENG-Championship,2425,Sheffield United,Kieffer Moore,WAL,FW,31,1992,27,18,1767,19.6,5,0,5,4,1,3,1,0,0.25,0.0,0.25,0.2,0.2
ENG-Championship,2425,Sheffield United,Michael Cooper,ENG,GK,24,1999,43,43,3870,43.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Oliver Arblaster,ENG,MF,20,2004,12,11,978,10.9,2,1,3,2,0,0,3,0,0.18,0.09,0.28,0.18,0.28
ENG-Championship,2425,Sheffield United,Rhian Brewster,ENG,"MF,FW",24,2000,36,16,1558,17.3,4,3,7,4,0,0,2,0,0.23,0.17,0.4,0.23,0.4
ENG-Championship,2425,Sheffield United,Rhys Norrington-Davies,WAL,DF,25,1999,14,2,251,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Rob Holding,ENG,DF,28,1995,10,4,420,4.7,0,1,1,0,0,0,1,0,0.0,0.21,0.21,0.0,0.21
ENG-Championship,2425,Sheffield United,Ryan One,SCO,FW,18,2006,12,2,292,3.2,1,0,1,1,0,0,2,0,0.31,0.0,0.31,0.31,0.31
ENG-Championship,2425,Sheffield United,Sai Sachdev,ENG,DF,19,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sheffield United,Sam McCallum,ENG,"DF,MF",23,2000,33,9,1057,11.7,2,0,2,2,0,0,1,0,0.17,0.0,0.17,0.17,0.17
ENG-Championship,2425,Sheffield United,Sydie Peck,ENG,MF,19,2004,42,32,2927,32.5,0,2,2,0,0,0,6,0,0.0,0.06,0.06,0.0,0.06
