,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Championship,2425,Sunderland,Aaron Connolly,IRL,"MF,FW",24,2000,10,2,246,2.7,1,0,1,1,0,0,0,0,0.37,0.0,0.37,0.37,0.37
ENG-Championship,2425,Sunderland,Adil Aouchiche,ALG,MF,22,2002,8,3,296,3.3,0,1,1,0,0,0,0,0,0.0,0.3,0.3,0.0,0.3
ENG-Championship,2425,Sunderland,Ajibola Alese,ENG,DF,23,2001,12,8,703,7.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sunderland,Alan Browne,IRL,"MF,DF",29,1995,22,13,1212,13.5,1,0,1,1,0,0,1,0,0.07,0.0,0.07,0.07,0.07
ENG-Championship,2425,Sunderland,Anthony Patterson,ENG,GK,24,2000,42,42,3780,42.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sunderland,Chris Mepham,WAL,DF,26,1997,38,37,3273,36.4,1,0,1,1,0,0,10,1,0.03,0.0,0.03,0.03,0.03
ENG-Championship,2425,Sunderland,Chris Rigg,ENG,"MF,FW",17,2007,42,36,3055,33.9,4,1,5,4,0,0,8,0,0.12,0.03,0.15,0.12,0.15
ENG-Championship,2425,Sunderland,Dan Neil,ENG,MF,22,2001,44,44,3877,43.1,2,3,5,2,0,0,4,1,0.05,0.07,0.12,0.05,0.12
ENG-Championship,2425,Sunderland,Daniel Ballard,NIR,DF,24,1999,20,12,1127,12.5,2,1,3,2,0,0,3,0,0.16,0.08,0.24,0.16,0.24
ENG-Championship,2425,Sunderland,Dennis Cirkin,LVA,DF,22,2002,36,30,2740,30.4,3,2,5,3,0,0,6,0,0.1,0.07,0.16,0.1,0.16
ENG-Championship,2425,Sunderland,Eliezer Mayenda,ESP,"FW,MF",19,2005,37,22,2155,23.9,8,5,13,8,0,0,2,0,0.33,0.21,0.54,0.33,0.54
ENG-Championship,2425,Sunderland,Enzo Le Fée,FRA,MF,24,2000,15,11,1001,11.1,1,1,2,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18
ENG-Championship,2425,Sunderland,Harrison Jones,ENG,MF,19,2004,4,2,132,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sunderland,Ian Poveda,ENG,"FW,MF",24,2000,6,0,86,1.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sunderland,Jack Clarke,ENG,MF,23,2000,2,2,179,2.0,1,1,2,1,0,0,0,0,0.5,0.5,1.01,0.5,1.01
ENG-Championship,2425,Sunderland,Jenson Seelt,NED,DF,21,2003,1,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sunderland,Jobe Bellingham,ENG,MF,18,2005,40,39,3507,39.0,4,3,7,4,0,0,10,1,0.1,0.08,0.18,0.1,0.18
ENG-Championship,2425,Sunderland,Joe Anderson,ENG,DF,23,2001,2,1,99,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sunderland,Leo Fuhr Hjelde,NOR,DF,20,2003,15,5,410,4.6,0,1,1,0,0,0,3,0,0.0,0.22,0.22,0.0,0.22
ENG-Championship,2425,Sunderland,Luke O'Nien,ENG,DF,29,1994,45,44,3934,43.7,3,1,4,3,0,1,9,0,0.07,0.02,0.09,0.07,0.09
ENG-Championship,2425,Sunderland,Milan Aleksić,SRB,MF,18,2005,8,3,290,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sunderland,Nazariy Rusyn,UKR,"FW,MF",25,1998,8,0,72,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sunderland,Nectarios Triantis,GRE,"DF,MF",21,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sunderland,Patrick Roberts,ENG,"MF,FW",27,1997,45,38,3280,36.4,2,7,9,1,1,2,8,0,0.05,0.19,0.25,0.03,0.22
ENG-Championship,2425,Sunderland,Romaine Mundle,ENG,"MF,FW",21,2003,22,17,1433,15.9,5,2,7,5,0,0,1,0,0.31,0.13,0.44,0.31,0.44
ENG-Championship,2425,Sunderland,Salis Abdul Samed,GHA,MF,24,2000,10,3,283,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sunderland,Simon Moore,ENG,GK,34,1990,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Sunderland,Tom Watson,ENG,MF,18,2006,20,11,891,9.9,2,0,2,2,0,0,2,0,0.2,0.0,0.2,0.2,0.2
ENG-Championship,2425,Sunderland,Trai Hume,NIR,DF,22,2002,44,43,3810,42.3,3,6,9,3,0,0,11,1,0.07,0.14,0.21,0.07,0.21
ENG-Championship,2425,Sunderland,Wilson Isidor,HAI,FW,23,2000,43,34,3112,34.6,12,2,14,12,0,2,9,0,0.35,0.06,0.4,0.35,0.4
ENG-Championship,2425,Swansea City,Azeem Abdulai,SCO,MF,21,2002,17,2,348,3.9,1,0,1,1,0,0,1,0,0.26,0.0,0.26,0.26,0.26
ENG-Championship,2425,Swansea City,Ben Cabango,WAL,DF,24,2000,45,45,4032,44.8,2,1,3,2,0,0,9,0,0.04,0.02,0.07,0.04,0.07
ENG-Championship,2425,Swansea City,Ben Lloyd,WAL,MF,19,2005,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Swansea City,Cyrus Christie,IRL,DF,31,1992,11,2,282,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Swansea City,Eom Ji-sung,KOR,MF,22,2002,37,28,2287,25.4,3,2,5,3,0,0,2,0,0.12,0.08,0.2,0.12,0.2
ENG-Championship,2425,Swansea City,Florian Bianchini,FRA,FW,23,2001,36,8,1103,12.3,3,0,3,3,0,0,2,0,0.24,0.0,0.24,0.24,0.24
ENG-Championship,2425,Swansea City,Gonçalo Franco,POR,MF,23,2000,40,39,3141,34.9,2,2,4,2,0,0,6,0,0.06,0.06,0.11,0.06,0.11
ENG-Championship,2425,Swansea City,Hannes Delcroix,HAI,DF,25,1999,12,10,888,9.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Swansea City,Harry Darling,ENG,DF,24,1999,39,38,3335,37.1,5,3,8,5,0,0,4,1,0.13,0.08,0.22,0.13,0.22
ENG-Championship,2425,Swansea City,Jay Fulton,SCO,MF,30,1994,31,13,1289,14.3,1,0,1,1,0,0,6,0,0.07,0.0,0.07,0.07,0.07
ENG-Championship,2425,Swansea City,Joe Allen,WAL,MF,34,1990,25,8,709,7.9,1,1,2,1,0,0,2,0,0.13,0.13,0.25,0.13,0.25
ENG-Championship,2425,Swansea City,Josh Ginnelly,ENG,"FW,MF",27,1997,3,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Swansea City,Josh Key,ENG,DF,24,1999,45,39,3469,38.5,1,3,4,1,0,0,3,0,0.03,0.08,0.1,0.03,0.1
ENG-Championship,2425,Swansea City,Josh Tymon,ENG,DF,25,1999,45,44,3940,43.8,2,7,9,2,0,1,7,0,0.05,0.16,0.21,0.05,0.21
ENG-Championship,2425,Swansea City,Joshua Thomas,WAL,FW,21,2002,1,0,1,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Swansea City,Kyle Naughton,ENG,DF,35,1988,23,9,826,9.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Swansea City,Lawrence Vigouroux,CHI,GK,30,1993,46,46,4140,46.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Swansea City,Lewis O'Brien,ENG,MF,25,1998,16,16,1419,15.8,1,0,1,1,0,0,2,0,0.06,0.0,0.06,0.06,0.06
ENG-Championship,2425,Swansea City,Liam Cullen,WAL,"MF,FW",25,1999,42,35,2995,33.3,11,3,14,11,0,0,8,0,0.33,0.09,0.42,0.33,0.42
ENG-Championship,2425,Swansea City,Matt Grimes,ENG,MF,29,1995,29,29,2610,29.0,2,1,3,1,1,1,4,0,0.07,0.03,0.1,0.03,0.07
ENG-Championship,2425,Swansea City,Myles Peart-Harris,ENG,MF,21,2002,29,18,1665,18.5,3,4,7,3,0,0,6,0,0.16,0.22,0.38,0.16,0.38
ENG-Championship,2425,Swansea City,Nathan Tjoe-A-On,IDN,DF,22,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Swansea City,Oliver Cooper,WAL,MF,24,1999,28,10,1042,11.6,1,1,2,1,0,0,0,0,0.09,0.09,0.17,0.09,0.17
ENG-Championship,2425,Swansea City,Ronald,BRA,MF,23,2001,46,43,3761,41.8,2,7,9,2,0,0,3,0,0.05,0.17,0.22,0.05,0.22
ENG-Championship,2425,Swansea City,Samuel Parker,WAL,DF,18,2006,7,0,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Swansea City,Žan Vipotnik,SVN,FW,22,2002,42,24,2087,23.2,7,0,7,6,1,1,1,0,0.3,0.0,0.3,0.26,0.26
ENG-Championship,2425,Watford,Amin Nabizada,AFG,FW,17,2007,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,Angelo Ogbonna,ITA,DF,36,1988,6,5,398,4.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,Caleb Wiley,USA,"DF,MF",19,2004,10,8,722,8.0,0,1,1,0,0,0,0,0,0.0,0.12,0.12,0.0,0.12
ENG-Championship,2425,Watford,Daniel Bachmann,AUT,GK,30,1994,22,22,1902,21.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,Daniel Jebbison,CAN,FW,20,2003,13,3,387,4.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,Edo Kayembe,COD,"MF,FW",26,1998,44,37,3196,35.5,8,1,9,6,2,2,11,1,0.23,0.03,0.25,0.17,0.2
ENG-Championship,2425,Watford,Egil Selvik,NOR,GK,27,1997,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,Festy Ebosele,IRL,"MF,DF",21,2002,18,7,757,8.4,1,1,2,1,0,0,7,0,0.12,0.12,0.24,0.12,0.24
ENG-Championship,2425,Watford,Francisco Sierralta,CHI,DF,27,1997,33,21,1897,21.1,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,Giorgi Chakvetadze,GEO,"MF,FW",24,1999,39,37,3281,36.5,2,6,8,2,0,0,6,0,0.05,0.16,0.22,0.05,0.22
ENG-Championship,2425,Watford,Imran Louza,MAR,MF,25,1999,33,30,2677,29.7,2,5,7,2,0,0,11,0,0.07,0.17,0.24,0.07,0.24
ENG-Championship,2425,Watford,James Abankwah,IRL,DF,20,2004,19,17,1384,15.4,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,James Morris,ENG,DF,22,2001,18,13,1086,12.1,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,Jeremy Ngakia,,"DF,MF",23,2000,29,23,1883,20.9,1,0,1,1,0,0,5,0,0.05,0.0,0.05,0.05,0.05
ENG-Championship,2425,Watford,Jonathan Bond,ENG,GK,31,1993,9,8,798,8.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,Ken Sema,SWE,MF,30,1993,14,4,521,5.8,0,1,1,0,0,0,0,0,0.0,0.17,0.17,0.0,0.17
ENG-Championship,2425,Watford,Kwadwo Baah,ENG,"MF,FW",21,2003,27,16,1459,16.2,4,3,7,4,0,0,5,1,0.25,0.19,0.43,0.25,0.43
ENG-Championship,2425,Watford,Kévin Keben,CMR,DF,20,2004,6,3,256,2.8,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,Mamadou Doumbia,MLI,FW,18,2006,19,12,968,10.8,2,0,2,2,0,0,2,0,0.19,0.0,0.19,0.19,0.19
ENG-Championship,2425,Watford,Matthew Pollock,ENG,DF,22,2001,45,42,3815,42.4,2,4,6,2,0,0,7,0,0.05,0.09,0.14,0.05,0.14
ENG-Championship,2425,Watford,Michael Adu-Poku,ENG,FW,18,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,Mileta Rajovic,DEN,FW,25,1999,3,0,46,0.5,1,0,1,1,0,0,2,0,1.96,0.0,1.96,1.96,1.96
ENG-Championship,2425,Watford,Moussa Sissoko,FRA,MF,34,1989,40,33,2888,32.1,6,1,7,6,0,0,6,1,0.19,0.03,0.22,0.19,0.22
ENG-Championship,2425,Watford,Pierre Dwomoh,BEL,MF,20,2004,9,6,530,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,Watford,Rocco Vata,IRL,"MF,FW",19,2005,33,15,1536,17.1,3,4,7,3,0,0,0,0,0.18,0.23,0.41,0.18,0.41
ENG-Championship,2425,Watford,Ryan Andrews,ENG,"MF,DF",19,2004,38,21,2086,23.2,3,2,5,3,0,0,3,0,0.13,0.09,0.22,0.13,0.22
ENG-Championship,2425,Watford,Ryan Porteous,SCO,DF,25,1999,22,18,1662,18.5,2,0,2,2,0,0,7,0,0.11,0.0,0.11,0.11,0.11
ENG-Championship,2425,Watford,Tom Dele-Bashiru,NGA,MF,24,1999,27,25,2064,22.9,4,0,4,1,3,3,0,0,0.17,0.0,0.17,0.04,0.04
ENG-Championship,2425,Watford,Tom Ince,ENG,MF,32,1992,32,13,1289,14.3,1,1,2,0,1,1,1,0,0.07,0.07,0.14,0.0,0.07
ENG-Championship,2425,Watford,Vakoun Bayo,CIV,FW,27,1997,41,25,2242,24.9,10,0,10,9,1,1,5,1,0.4,0.0,0.4,0.36,0.36
ENG-Championship,2425,Watford,Yasser Larouci,ALG,"MF,DF",23,2001,39,26,2136,23.7,0,3,3,0,0,0,3,0,0.0,0.13,0.13,0.0,0.13
ENG-Championship,2425,Watford,Zavier Massiah,ENG,FW,17,2007,4,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,Adam Armstrong,ENG,"FW,MF",27,1997,16,12,1008,11.2,3,0,3,2,1,1,0,0,0.27,0.0,0.27,0.18,0.18
ENG-Championship,2425,West Brom,Alex Mowatt,ENG,MF,29,1995,43,39,3351,37.2,7,2,9,7,0,0,5,0,0.19,0.05,0.24,0.19,0.24
ENG-Championship,2425,West Brom,Alex Palmer,ENG,GK,27,1996,30,30,2700,30.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,Callum Styles,HUN,"DF,MF",24,2000,34,29,2613,29.0,3,1,4,3,0,0,11,1,0.1,0.03,0.14,0.1,0.14
ENG-Championship,2425,West Brom,Darnell Furlong,ENG,DF,28,1995,42,42,3706,41.2,1,3,4,1,0,0,8,1,0.02,0.07,0.1,0.02,0.1
ENG-Championship,2425,West Brom,Daryl Dike,USA,MF,24,2000,11,1,227,2.5,1,1,2,1,0,0,1,0,0.4,0.4,0.79,0.4,0.79
ENG-Championship,2425,West Brom,Devante Cole,ENG,FW,29,1995,14,0,163,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,Gianluca Frabotta,ITA,"DF,MF",25,1999,6,0,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,Grady Diangana,COD,"MF,FW",26,1998,34,14,1494,16.6,4,3,7,4,0,0,1,0,0.24,0.18,0.42,0.24,0.42
ENG-Championship,2425,West Brom,Harry Whitwell,ENG,MF,18,2005,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,Isaac Price,NIR,MF,20,2003,15,13,1049,11.7,1,1,2,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17
ENG-Championship,2425,West Brom,Jayson Molumby,IRL,MF,24,1999,37,30,2702,30.0,4,1,5,4,0,0,11,1,0.13,0.03,0.17,0.13,0.17
ENG-Championship,2425,West Brom,Jed Wallace,ENG,"MF,FW",30,1994,29,6,809,9.0,1,1,2,1,0,0,2,0,0.11,0.11,0.22,0.11,0.22
ENG-Championship,2425,West Brom,Joe Wildsmith,ENG,GK,28,1995,10,10,900,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,John Swift,ENG,MF,29,1995,36,19,1741,19.3,3,1,4,3,0,0,4,0,0.16,0.05,0.21,0.16,0.21
ENG-Championship,2425,West Brom,Josh Maja,NGA,FW,25,1998,26,26,2056,22.8,12,2,14,12,0,0,2,0,0.53,0.09,0.61,0.53,0.61
ENG-Championship,2425,West Brom,Joshua Griffiths,ENG,GK,22,2001,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,Karlan Grant,ENG,"MF,FW",26,1997,43,34,2930,32.6,7,2,9,7,0,0,2,0,0.22,0.06,0.28,0.22,0.28
ENG-Championship,2425,West Brom,Kyle Bartley,ENG,DF,33,1991,31,30,2610,29.0,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,Lewis Dobbin,ENG,MF,21,2003,17,1,340,3.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,Mason Holgate,JAM,DF,27,1996,26,21,1983,22.0,1,1,2,1,0,0,2,0,0.05,0.05,0.09,0.05,0.09
ENG-Championship,2425,West Brom,Michael Johnston,IRL,MF,25,1999,40,25,2069,23.0,3,5,8,3,0,0,3,0,0.13,0.22,0.35,0.13,0.35
ENG-Championship,2425,West Brom,Ousmane Diakité,MLI,"MF,DF",24,2000,22,9,860,9.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,Paddy McNair,NIR,DF,29,1995,2,2,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,Semi Ajayi,NGA,DF,30,1993,15,14,1228,13.6,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0
ENG-Championship,2425,West Brom,Tamer Bani Odeh,JOR,FW,20,2003,4,0,53,0.6,0,1,1,0,0,0,1,0,0.0,1.7,1.7,0.0,1.7
ENG-Championship,2425,West Brom,Tom Fellows,ENG,MF,21,2003,45,35,2872,31.9,4,14,18,4,0,0,4,0,0.13,0.44,0.56,0.13,0.56
ENG-Championship,2425,West Brom,Torbjørn Heggem,NOR,DF,25,1999,45,45,4010,44.6,1,2,3,1,0,0,3,0,0.02,0.04,0.07,0.02,0.07
ENG-Championship,2425,West Brom,Uroš Račić,SRB,MF,26,1998,21,9,916,10.2,0,2,2,0,0,0,2,0,0.0,0.2,0.2,0.0,0.2
ENG-Championship,2425,West Brom,Will Lankshear,ENG,FW,19,2005,11,4,350,3.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
