,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
66,Asmir Begović,ba BIH,GK,Leicester City,38,1987,11,10,945,10.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
67,Amari'i Bell,jm JAM,"DF,MF",Charlton Athletic,31,1994,34,32,"2,699",30,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
68,Sam Bell,eng ENG,MF,Bristol City,23,2002,13,3,364,4,4,1,5,4,0,0,0,0,0.99,0.25,1.24,0.99,1.24,Matches
69,Bachir Belloumi,dz ALG,MF,Hull City,23,2002,22,10,936,10.4,2,3,5,2,0,0,1,0,0.19,0.29,0.48,0.19,0.48,Matches
70,Anis Ben Slimane,tn TUN,MF,Norwich City,24,2001,22,15,"1,225",13.6,5,2,7,5,0,0,4,0,0.37,0.15,0.51,0.37,0.51,Matches
71,Steven Benda,de GER,GK,Millwall,26,1998,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
72,Daniel Bennie,au AUS,"FW,MF",QPR,19,2006,17,5,647,7.2,1,1,2,1,0,0,2,0,0.14,0.14,0.28,0.14,0.28,Matches
73,Victor Bernth Kristiansen,dk DEN,DF,Leicester City,22,2002,5,2,167,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
74,Luke Berry,eng ENG,MF,Charlton Athletic,33,1992,16,6,486,5.4,1,0,1,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
75,Florian Bianchini,fr FRA,MF,Portsmouth,24,2001,10,6,512,5.7,0,1,1,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
76,Jake Bidwell,eng ENG,DF,Coventry City,32,1993,11,3,431,4.8,0,1,1,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches
