,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
167,Jake Cooper,eng ENG,DF,Millwall,30,1995,45,45,"4,050",45,4,1,5,4,0,0,10,0,0.09,0.02,0.11,0.09,0.11,Matches
168,Liam Cooper,sct SCO,DF,Sheffield Weds,33,1991,14,10,909,10.1,1,0,1,1,0,0,3,0,0.1,0,0.1,0.1,0.1,Matches
169,Michael Cooper,eng ENG,GK,Sheffield United,25,1999,34,34,"3,015",33.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
170,Murphy Cooper,eng ENG,GK,Sheffield Weds,23,2001,8,8,720,8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
171,Oliver Cooper,wls WAL,MF,Swansea City,25,1999,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,José Córdoba,pa PAN,DF,Norwich City,24,2001,28,24,"2,252",25,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches
173,David Cornell,wls WAL,GK,Preston,34,1991,8,7,675,7.5,0,1,1,0,0,0,1,0,0,0.13,0.13,0,0.13,Matches
174,Harry Cornick,eng ENG,"FW,MF",Bristol City,30,1995,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,Conor Coventry,ie IRL,MF,Charlton Athletic,25,2000,40,33,"2,910",32.3,0,1,1,0,0,0,7,0,0,0.03,0.03,0,0.03,Matches
176,Lewie Coyle,eng ENG,"DF,MF",Hull City,29,1995,39,37,"3,184",35.4,0,4,4,0,0,0,12,0,0,0.11,0.11,0,0.11,Matches
177,Tristan Crama,fr FRA,DF,Millwall,23,2001,46,46,"4,105",45.6,3,6,9,3,0,0,9,0,0.07,0.13,0.2,0.07,0.2,Matches
178,Aaron Cresswell,eng ENG,DF,Stoke City,35,1989,25,22,"2,001",22.2,0,3,3,0,0,0,2,0,0,0.13,0.13,0,0.13,Matches
179,Ante Crnac,hr CRO,"MF,FW",Norwich City,21,2003,11,8,758,8.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
180,Max Crocombe,nz NZL,GK,Millwall,31,1993,23,23,"2,070",23,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
181,Matt Crooks,eng ENG,MF,Hull City,31,1994,31,28,"2,502",27.8,4,4,8,4,0,0,13,0,0.14,0.14,0.29,0.14,0.29,Matches
182,Liam Cullen,wls WAL,"MF,FW",Swansea City,26,1999,40,17,"1,737",19.3,5,0,5,5,0,0,5,0,0.26,0,0.26,0.26,0.26,Matches
183,Jamie Cumming,eng ENG,GK,Oxford United,25,1999,46,46,"4,140",46,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
184,Luke Cundle,eng ENG,MF,Millwall,23,2002,28,10,"1,072",11.9,4,0,4,4,0,0,1,0,0.34,0,0.34,0.34,0.34,Matches
185,Jack Currie,eng ENG,DF,Oxford United,22,2002,30,25,"2,179",24.2,0,1,1,0,0,0,5,0,0,0.04,0.04,0,0.04,Matches
186,Patson Daka,zm ZAM,FW,Leicester City,26,1998,41,21,"2,088",23.2,5,4,9,5,0,1,2,0,0.22,0.17,0.39,0.22,0.39,Matches
187,Harry Darling,eng ENG,DF,Norwich City,25,1999,35,34,"3,016",33.5,1,0,1,1,0,0,7,0,0.03,0,0.03,0.03,0.03,Matches
188,Jay Dasilva,wls WAL,DF,Coventry City,27,1998,42,41,"3,544",39.4,0,3,3,0,0,0,6,1,0,0.08,0.08,0,0.08,Matches
189,Adam Davies,wls WAL,GK,Sheffield United,33,1992,13,12,"1,125",12.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
190,Ben Davies,eng ENG,DF,Oxford United,29,1995,10,7,647,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
191,Tom Davies,eng ENG,MF,Sheffield United,27,1998,10,3,344,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
192,Leif Davis,eng ENG,DF,Ipswich Town,25,1999,37,35,"3,164",35.2,2,4,6,2,0,0,5,0,0.06,0.11,0.17,0.06,0.17,Matches
193,Bobby De Cordova-Reid,jm JAM,MF,Leicester City,32,1993,36,23,"1,791",19.9,5,3,8,5,0,1,3,1,0.25,0.15,0.4,0.25,0.4,Matches
194,Brian De Keersmaecker,be BEL,MF,Oxford United,25,2000,26,25,"2,246",25,1,5,6,1,0,0,3,0,0.04,0.2,0.24,0.04,0.24,Matches
195,Dion De Neve,be BEL,MF,Blackburn,24,2001,27,9,983,10.9,0,1,1,0,0,0,0,0,0,0.09,0.09,0,0.09,Matches
196,Tom Dele-Bashiru,ng NGA,MF,Watford,25,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
197,Karamoko Dembélé,eng ENG,MF,QPR,22,2003,28,17,"1,525",16.9,1,0,1,1,0,0,3,0,0.06,0,0.06,0.06,0.06,Matches
198,Siriki Dembélé,ci CIV,MF,Oxford United,28,1996,19,4,657,7.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
199,Enis Destan,tr TUR,FW,Hull City,23,2002,18,4,443,4.9,2,0,2,2,0,0,4,0,0.41,0,0.41,0.41,0.41,Matches
200,Alfie Devine,eng ENG,MF,Preston,20,2004,45,36,"3,112",34.6,8,6,14,8,0,0,4,0,0.23,0.17,0.4,0.23,0.4,Matches
201,Terry Devlin,nir NIR,"DF,MF",Portsmouth,21,2003,38,29,"2,564",28.5,5,1,6,5,0,0,3,1,0.18,0.04,0.21,0.18,0.21,Matches
202,Madiodio Dia,sn SEN,DF,Portsmouth,21,2004,7,5,390,4.3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
203,Ousmane Diakité,ml MLI,MF,West Brom,25,2000,36,26,"2,402",26.7,1,0,1,1,0,0,7,0,0.04,0,0.04,0.04,0.04,Matches
204,Tyler Dibling,eng ENG,MF,Southampton,19,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
205,Robert Dickie,eng ENG,DF,Bristol City,29,1996,33,30,"2,725",30.3,1,1,2,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,Matches
206,Seny Dieng,sn SEN,GK,Sheffield Weds,30,1994,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
207,Daryl Dike,us USA,FW,West Brom,25,2000,24,6,727,8.1,2,1,3,2,0,0,2,0,0.25,0.12,0.37,0.25,0.37,Matches
208,Nathan Dlamini,,FW,Blackburn,,,4,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
209,Lewis Dobbin,eng ENG,FW,Preston,22,2003,39,33,"2,597",28.9,10,8,18,10,0,0,2,0,0.35,0.28,0.62,0.35,0.62,Matches
210,George Dobson,eng ENG,MF,Wrexham,27,1997,40,31,"2,919",32.4,2,2,4,2,0,0,8,0,0.06,0.06,0.12,0.06,0.12,Matches
211,Greg Docherty,sct SCO,MF,Charlton Athletic,28,1996,39,32,"2,944",32.7,1,3,4,1,0,1,7,0,0.03,0.09,0.12,0.03,0.12,Matches
212,Aodhan Doherty,nir NIR,MF,Blackburn,19,2006,3,1,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
213,Jamie Donley,nir NIR,MF,Oxford United,20,2005,13,10,822,9.1,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches
214,Jamie Donley,nir NIR,MF,Stoke City,20,2005,4,0,81,0.9,0,1,1,0,0,0,0,0,0,1.11,1.11,0,1.11,Matches
215,Alfie Doughty,eng ENG,"DF,MF",Millwall,25,1999,25,16,"1,401",15.6,0,5,5,0,0,0,4,0,0,0.32,0.32,0,0.32,Matches
216,Mamadou Doumbia,ml MLI,"FW,MF",Watford,19,2006,33,17,"1,681",18.7,4,1,5,4,0,0,5,0,0.21,0.05,0.27,0.21,0.27,Matches
217,Kieran Dowell,eng ENG,MF,Hull City,27,1997,13,1,259,2.9,1,0,1,1,0,0,2,0,0.35,0,0.35,0.35,0.35,Matches
218,Flynn Downes,eng ENG,MF,Southampton,26,1999,36,32,"2,621",29.1,3,0,3,3,0,0,12,0,0.1,0,0.1,0.1,0.1,Matches
219,Damion Downs,us USA,FW,Southampton,21,2004,11,1,283,3.1,0,1,1,0,0,0,1,0,0,0.32,0.32,0,0.32,Matches
220,Callum Doyle,eng ENG,DF,Wrexham,21,2003,34,32,"2,874",31.9,2,2,4,2,0,0,6,1,0.06,0.06,0.13,0.06,0.13,Matches
221,Tommy Doyle,eng ENG,MF,Birmingham City,23,2001,38,19,"1,908",21.2,0,3,3,0,0,0,1,1,0,0.14,0.14,0,0.14,Matches
222,Andre Dozzell,eng ENG,MF,Portsmouth,26,1999,37,36,"3,152",35,2,1,3,2,0,0,8,0,0.06,0.03,0.09,0.06,0.09,Matches
223,Cody Drameh,eng ENG,"DF,MF",Hull City,23,2001,22,16,"1,434",15.9,0,1,1,0,0,0,1,0,0,0.06,0.06,0,0.06,Matches
224,Marvin Ducksch,de GER,"FW,MF",Birmingham City,31,1994,33,25,"1,956",21.7,10,1,11,10,0,0,2,0,0.46,0.05,0.51,0.46,0.51,Matches
225,Shane Duffy,ie IRL,DF,Norwich City,33,1992,4,3,260,2.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
226,Jimmy Dunne,ie IRL,DF,QPR,27,1997,39,39,"3,481",38.7,3,3,6,3,0,0,6,0,0.08,0.08,0.16,0.08,0.16,Matches
227,Pierre Dwomoh,be BEL,MF,Watford,21,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
228,Lyndon Dykes,sct SCO,"MF,FW",Birmingham City,29,1995,21,2,438,4.9,2,0,2,2,0,0,1,0,0.41,0,0.41,0.41,0.41,Matches
229,Lyndon Dykes,sct SCO,FW,Charlton Athletic,29,1995,20,16,"1,512",16.8,3,3,6,3,0,0,3,0,0.18,0.18,0.36,0.18,0.36,Matches
230,Owen Eames,,MF,Derby County,,,4,0,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
231,George Earthy,eng ENG,MF,Bristol City,20,2004,10,2,278,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
232,Josh Eccles,eng ENG,MF,Coventry City,25,2000,34,19,"1,509",16.8,4,1,5,4,0,0,6,0,0.24,0.06,0.3,0.24,0.3,Matches
233,George Edmundson,eng ENG,DF,Middlesbrough,27,1997,7,3,218,2.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
234,Samuel Edozie,eng ENG,MF,Southampton,22,2003,12,2,303,3.4,0,2,2,0,0,0,0,0,0,0.59,0.59,0,0.59,Matches
235,Joshua Edwards,eng ENG,"DF,MF",Charlton Athletic,25,2000,7,7,549,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
236,Ronnie Edwards,eng ENG,DF,Southampton,22,2003,11,8,666,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
237,Ronnie Edwards,eng ENG,DF,QPR,22,2003,17,17,"1,530",17,1,1,2,1,0,0,2,0,0.06,0.06,0.12,0.06,0.12,Matches
238,John Egan,ie IRL,DF,Hull City,32,1992,42,39,"3,416",38,3,0,3,3,0,0,8,0,0.08,0,0.08,0.08,0.08,Matches
239,Sindre Egeli,no NOR,MF,Ipswich Town,19,2006,28,18,"1,474",16.4,4,1,5,4,0,0,2,0,0.24,0.06,0.31,0.24,0.31,Matches
240,Noah Eile,se SWE,DF,Bristol City,23,2002,15,14,"1,261",14,1,0,1,1,0,0,3,0,0.07,0,0.07,0.07,0.07,Matches
241,Pierre Ekwah Elimby,fr FRA,MF,Watford,23,2002,7,3,274,3,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
242,Callum Elder,au AUS,"MF,DF",Derby County,30,1995,28,26,"2,189",24.3,1,5,6,1,0,0,8,0,0.04,0.21,0.25,0.04,0.25,Matches
243,Aidomo Emakhu,ie IRL,MF,Oxford United,21,2003,11,5,528,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
244,Aidomo Emakhu,ie IRL,MF,Millwall,21,2003,27,12,"1,163",12.9,2,1,3,2,0,0,0,0,0.15,0.08,0.23,0.15,0.23,Matches
245,Joe Emery,,DF,Sheffield Weds,,,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
246,Yunus Emre Konak,tr TUR,MF,Oxford United,19,2006,16,12,890,9.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
247,Esquerdinha,br BRA,DF,QPR,19,2006,16,7,606,6.7,0,1,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
248,Romain Esse,eng ENG,MF,Coventry City,20,2005,17,8,758,8.4,2,1,3,2,0,0,2,0,0.24,0.12,0.36,0.24,0.36,Matches
249,Milan van Ewijk,nl NED,DF,Coventry City,24,2000,44,43,"3,777",42,0,8,8,0,0,0,8,0,0,0.19,0.19,0,0.19,Matches
250,Wout Faes,be BEL,DF,Leicester City,27,1998,15,9,858,9.5,1,1,2,1,0,0,1,0,0.1,0.1,0.21,0.1,0.21,Matches
251,Akin Famewo,eng ENG,DF,Hull City,26,1998,15,7,689,7.7,1,0,1,1,0,0,1,0,0.13,0,0.13,0.13,0.13,Matches
252,Jacob Farrell,au AUS,DF,Portsmouth,22,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
253,Abdul Fatawu Issahaku,gh GHA,MF,Leicester City,21,2004,44,43,"3,706",41.2,9,7,16,9,0,0,7,0,0.22,0.17,0.39,0.22,0.39,Matches
254,Favour Fawunmi,eng ENG,MF,Stoke City,19,2006,2,0,36,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
255,Tom Fellows,eng ENG,MF,Southampton,22,2003,37,25,"2,188",24.3,0,6,6,0,0,0,2,0,0,0.25,0.25,0,0.25,Matches
256,Tom Fellows,eng ENG,MF,West Brom,22,2003,3,3,230,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
257,Bruno Fernandes,pt POR,FW,Sheffield Weds,19,2006,4,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
258,Mateus Fernandes,pt POR,MF,Southampton,21,2004,3,2,189,2.1,0,1,1,0,0,0,0,0,0,0.48,0.48,0,0.48,Matches
259,Jayden Fevrier,eng ENG,MF,Charlton Athletic,22,2003,11,4,492,5.5,2,0,2,2,0,0,0,0,0.37,0,0.37,0.37,0.37,Matches
260,Sam Field,eng ENG,MF,Norwich City,27,1998,13,7,624,6.9,0,1,1,0,0,0,1,0,0,0.14,0.14,0,0.14,Matches
261,Sam Field,eng ENG,"MF,DF",QPR,27,1998,18,9,857,9.5,0,1,1,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
262,Andy Fisher,eng ENG,GK,Swansea City,27,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
263,Kellen Fisher,eng ENG,"DF,MF",Norwich City,21,2004,43,38,"3,454",38.4,0,0,0,0,0,0,11,0,0,0,0,0,0,Matches
264,Adam Forshaw,eng ENG,MF,Blackburn,33,1991,22,14,"1,135",12.6,1,0,1,1,0,0,5,0,0.08,0,0.08,0.08,0.08,Matches
265,Amankwah Forson,gh GHA,MF,Norwich City,22,2002,19,7,594,6.6,2,1,3,2,0,0,0,0,0.3,0.15,0.45,0.3,0.45,Matches
266,Marcus Forss,fi FIN,"FW,MF",Middlesbrough,26,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
267,Craig Forsyth,sct SCO,"DF,MF",Derby County,36,1989,19,12,"1,148",12.8,1,0,1,1,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
268,Gonçalo Franco,pt POR,MF,Swansea City,24,2000,45,39,"3,247",36.1,3,4,7,3,0,0,8,0,0.08,0.11,0.19,0.08,0.19,Matches
269,Ryan Fraser,sct SCO,MF,Southampton,31,1994,16,9,879,9.8,0,2,2,0,0,0,0,0,0,0.2,0.2,0,0.2,Matches
270,Oscar Fraulo,dk DEN,MF,Derby County,21,2003,19,2,480,5.3,1,0,1,1,0,0,3,0,0.19,0,0.19,0.19,0.19,Matches
271,Michael Frey,ch SUI,FW,QPR,31,1994,13,2,313,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
272,Dael Fry,eng ENG,DF,Middlesbrough,27,1997,29,20,"1,833",20.4,3,0,3,3,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
273,Mads Frøkjær-Jensen,dk DEN,"MF,FW",Preston,26,1999,18,2,514,5.7,2,0,2,2,0,0,0,0,0.35,0,0.35,0.35,0.35,Matches
274,Leo Fuhr Hjelde,no NOR,DF,Sheffield United,21,2003,8,2,191,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
275,Kanya Fujimoto,jp JPN,MF,Birmingham City,26,1999,5,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
276,Ibrahim Fullah,eng ENG,"MF,FW",Charlton Athletic,18,2007,11,2,357,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
277,Jay Fulton,sct SCO,MF,Swansea City,31,1994,31,13,"1,263",14,1,0,1,1,0,0,5,0,0.07,0,0.07,0.07,0.07,Matches
278,Darnell Furlong,eng ENG,DF,Ipswich Town,29,1995,40,40,"3,521",39.1,1,3,4,1,0,0,11,0,0.03,0.08,0.1,0.03,0.1,Matches
279,Darnell Furlong,eng ENG,DF,West Brom,29,1995,3,3,269,3,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
280,Kyogo Furuhashi,jp JPN,FW,Birmingham City,30,1995,28,8,"1,019",11.3,1,0,1,1,0,0,1,0,0.09,0,0.09,0.09,0.09,Matches
281,Sean Fusire,zw ZIM,MF,Sheffield Weds,20,2005,35,23,"2,252",25,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches
282,Ethan Galbraith,nir NIR,"MF,DF",Swansea City,24,2001,39,36,"3,100",34.4,3,1,4,3,0,0,6,0,0.09,0.03,0.12,0.09,0.12,Matches
283,Sam Gallagher,eng ENG,"FW,MF",Stoke City,29,1995,19,4,657,7.3,2,0,2,2,0,0,0,0,0.27,0,0.27,0.27,0.27,Matches
284,Taylor Gardner-Hickman,eng ENG,"DF,MF",Birmingham City,23,2001,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
285,Taylor Gardner-Hickman,eng ENG,MF,Blackburn,23,2001,30,23,"1,978",22,0,0,0,0,0,0,9,0,0,0,0,0,0,Matches
286,Joe Gelhardt,eng ENG,MF,Hull City,23,2002,39,35,"2,804",31.2,14,4,18,13,1,2,5,0,0.45,0.13,0.58,0.42,0.55,Matches
287,Liam Gibbs,eng ENG,"MF,DF",Norwich City,22,2002,20,13,"1,191",13.2,1,0,1,1,0,0,2,0,0.08,0,0.08,0.08,0.08,Matches
288,Ben Gibson,eng ENG,DF,Stoke City,32,1993,13,7,727,8.1,1,0,1,1,0,0,1,0,0.12,0,0.12,0.12,0.12,Matches
289,Lewis Gibson,eng ENG,DF,Preston,25,2000,27,25,"2,191",24.3,1,0,1,1,0,0,3,0,0.04,0,0.04,0.04,0.04,Matches
290,Alexander Gilbert,ie IRL,MF,Middlesbrough,23,2001,21,9,871,9.7,1,1,2,1,0,0,5,0,0.1,0.1,0.21,0.1,0.21,Matches
291,Alfie Gilchrist,eng ENG,DF,West Brom,21,2003,13,8,660,7.3,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
292,Ryan Giles,eng ENG,"DF,MF",Hull City,25,2000,32,30,"2,481",27.6,0,8,8,0,0,0,7,0,0,0.29,0.29,0,0.29,Matches
293,Macaulay Gillesphey,eng ENG,DF,Charlton Athletic,29,1995,35,22,"2,065",22.9,2,0,2,2,0,0,4,0,0.09,0,0.09,0.09,0.09,Matches
294,Matthew Godden,eng ENG,"MF,FW",Charlton Athletic,34,1991,11,2,303,3.4,2,0,2,2,0,0,1,0,0.59,0,0.59,0.59,0.59,Matches
295,Ben Godfrey,eng ENG,DF,Sheffield United,27,1998,4,4,315,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
296,Saba Goglichidze,ge GEO,DF,Watford,21,2004,12,11,916,10.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
297,Tyler Goodrham,eng ENG,MF,Oxford United,21,2003,13,9,680,7.6,1,1,2,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,Matches
298,Kenzo Goudmijn,nl NED,MF,Derby County,23,2001,3,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
299,Keenan Gough,eng ENG,DF,Charlton Athletic,19,2006,3,2,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
300,William Grainger,wls WAL,MF,Sheffield Weds,16,2008,6,1,108,1.2,1,0,1,1,0,0,0,0,0.83,0,0.83,0.83,0.83,Matches
301,Karlan Grant,eng ENG,MF,West Brom,27,1997,27,17,"1,622",18,4,0,4,4,0,0,3,0,0.22,0,0.22,0.22,0.22,Matches
302,Demarai Gray,jm JAM,MF,Birmingham City,29,1996,37,27,"2,285",25.4,5,5,10,5,0,0,5,0,0.2,0.2,0.39,0.2,0.39,Matches
303,Kevon Gray,,DF,Leicester City,,,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
304,Jacob Greaves,eng ENG,DF,Ipswich Town,24,2000,24,23,"2,048",22.8,1,2,3,1,0,0,5,0,0.04,0.09,0.13,0.04,0.13,Matches
305,Jack Grieves,eng ENG,FW,Watford,20,2004,3,0,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
306,Joshua Griffiths,eng ENG,GK,West Brom,23,2001,24,23,"2,095",23.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
307,Matt Grimes,eng ENG,MF,Coventry City,30,1995,46,46,"4,123",45.8,2,2,4,1,1,1,5,0,0.04,0.04,0.09,0.02,0.07,Matches
308,Daniel Grimshaw,eng ENG,GK,Norwich City,27,1998,1,1,90,1,0,1,1,0,0,0,0,0,0,1,1,0,1,Matches
309,Makhtar Gueye,sn SEN,FW,Blackburn,27,1997,16,0,202,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
310,Andri Guðjohnsen,is ISL,FW,Blackburn,23,2002,25,18,"1,549",17.2,7,0,7,7,0,0,1,0,0.41,0,0.41,0.41,0.41,Matches
311,Darko Gyabi,eng ENG,MF,Hull City,21,2004,20,6,699,7.8,2,0,2,2,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
312,Hayden Hackney,eng ENG,MF,Middlesbrough,23,2002,38,38,"3,305",36.7,5,7,12,5,0,0,4,0,0.14,0.19,0.33,0.14,0.33,Matches
313,Amir Hadžiahmetović,ba BIH,MF,Hull City,28,1997,37,26,"2,119",23.5,0,2,2,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches
314,Ali Al Hamadi,iq IRQ,FW,Ipswich Town,23,2002,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
315,Ben Hamer,eng ENG,GK,QPR,37,1987,7,7,558,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
316,Gustavo Hamer,nl NED,MF,Sheffield United,28,1997,37,27,"2,500",27.8,5,12,17,3,2,2,11,0,0.18,0.43,0.61,0.11,0.54,Matches
317,Micah Hamilton,eng ENG,MF,Middlesbrough,21,2003,4,1,51,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
318,Sontje Hansen,cw CUW,MF,Middlesbrough,23,2002,17,4,497,5.5,1,0,1,1,0,0,1,0,0.18,0,0.18,0.18,0.18,Matches
319,Ryan Hardie,sct SCO,FW,Wrexham,28,1997,6,2,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
320,Wes Harding,jm JAM,DF,Millwall,28,1996,8,2,203,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
321,Luke Harris,wls WAL,MF,Oxford United,20,2005,16,7,625,6.9,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
322,Mark Harris,wls WAL,FW,Oxford United,26,1998,37,10,"1,034",11.5,3,0,3,3,0,0,3,0,0.26,0,0.26,0.26,0.26,Matches
323,Taylor Harwood-Bellis,eng ENG,DF,Southampton,23,2002,41,41,"3,690",41,7,1,8,7,0,0,9,0,0.17,0.02,0.2,0.17,0.2,Matches
324,Isaac Hayden,jm JAM,MF,QPR,30,1995,29,15,"1,491",16.6,0,2,2,0,0,0,6,0,0,0.12,0.12,0,0.12,Matches
325,Ryan Hedges,wls WAL,MF,Blackburn,30,1995,24,18,"1,572",17.5,1,2,3,1,0,0,3,0,0.06,0.11,0.17,0.06,0.17,Matches
326,Aune Heggebø,no NOR,FW,West Brom,24,2001,46,37,"3,153",35,9,4,13,9,0,0,2,0,0.26,0.11,0.37,0.26,0.37,Matches
327,Torbjørn Heggem,no NOR,DF,West Brom,26,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
328,Michał Helik,pl POL,DF,Oxford United,29,1995,43,42,"3,739",41.5,1,4,5,1,0,0,5,0,0.02,0.1,0.12,0.02,0.12,Matches
329,Axel Henriksson,se SWE,"MF,FW",Blackburn,23,2002,18,9,753,8.4,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
330,Onel Hernández,cu CUB,MF,Charlton Athletic,32,1993,6,2,225,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
331,Jaden Heskey,eng ENG,MF,Sheffield Weds,19,2005,20,19,"1,713",19,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
332,Yu Hirakawa,jp JPN,MF,Hull City,24,2001,7,2,272,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
333,Yu Hirakawa,jp JPN,MF,Bristol City,24,2001,24,3,524,5.8,1,2,3,1,0,0,2,0,0.17,0.34,0.52,0.17,0.52,Matches
334,George Hirst,sct SCO,FW,Ipswich Town,26,1999,42,25,"2,106",23.4,11,3,14,10,1,2,5,0,0.47,0.13,0.6,0.43,0.56,Matches
335,Ki-Jana Hoever,nl NED,DF,Sheffield United,23,2002,15,5,551,6.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
336,Tomi Horvat,si SVN,MF,Bristol City,26,1999,15,11,853,9.5,1,4,5,0,1,1,1,0,0.11,0.42,0.53,0,0.42,Matches
337,Ethan Horvath,us USA,GK,Sheffield Weds,30,1995,14,14,"1,259",14,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
338,Andrew Hughes,wls WAL,DF,Preston,33,1992,38,37,"3,293",36.6,1,0,1,1,0,0,10,0,0.03,0,0.03,0.03,0.03,Matches
339,Charlie Hughes,eng ENG,DF,Hull City,21,2003,38,36,"3,189",35.4,1,1,2,1,0,0,6,1,0.03,0.03,0.06,0.03,0.06,Matches
340,Cameron Humphreys,eng ENG,MF,Ipswich Town,21,2003,3,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
341,Dominic Hyam,sct SCO,DF,Wrexham,29,1995,40,40,"3,588",39.9,0,0,0,0,0,0,4,0,0,0,0,0,0,Matches
342,Dominic Hyam,sct SCO,DF,Blackburn,29,1995,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
343,Cruz Ibeh,,FW,Middlesbrough,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
344,Adam Idah,ie IRL,FW,Swansea City,24,2001,25,6,844,9.4,6,2,8,5,1,1,1,0,0.64,0.21,0.85,0.53,0.75,Matches
